"orden","id","dominant_topic","topic_perc_contrib","keywords","text","topic","organizacion","reg_id","cod_com_ine","rango_edades_id","cantidad_participantes","inst"
35,30,4,0.259099990129471,"ayudar, persona, opinion, estudiar, dar, siempre, companero, opinión, discriminar, respeto","['siempre', 'informado']","Ayudar y respetar a los compañeros","opd maule",7,7105,"Todos",35,"Establecimiento Educacional"
36,31,4,0.547800004482269,"ayudar, persona, opinion, estudiar, dar, siempre, companero, opinión, discriminar, respeto","['ayudar', 'persona', 'necesitar']","Ayudar y respetar a los compañeros","equipo comunal chile crece contigo",5,5107,"6 a 9",9,"Otro"
37,32,1,0.325599998235703,"cuidar, comunidad, reciclar, pelear, planet, violencia, expresar, futuro, cumplir, dar_conocer","['reciclar']","Cuidar la convivencia","profesional seremi desarrollo social y familia",5,5105,"10 a 13",8,"Otro"
38,33,4,0.468300014734268,"ayudar, persona, opinion, estudiar, dar, siempre, companero, opinión, discriminar, respeto","['superar', 'conseguir', 'persona', 'profesio']","Ayudar y respetar a los compañeros","escuela aonikenk",11,11402,"10 a 13",10,"Establecimiento Educacional"
39,34,0,0.709200024604797,"comprometer, mejor, trabajo, demanda, respetuoso, escuela, asi, subir, ninos_nina, continuar","['estudiante', 'comprender', 'resolucion', 'satisfaccion', 'necesidad', 'bien', 'corresponder', 'tarea', 'necesario', 'autogestion', 'organizacion', 'base', 'comprometer', 'participante', 'grupo', 'accion', 'local']","Respeto en la escuela","liceo roberto húmeres",5,5701,"14 a 18",60,"Establecimiento Educacional"
40,35,9,0.517199993133545,"educacion, pais, botar_basura, medio_ambiente, respecto, informar, lugar, informacion, campana, igualdad","['compartir', 'junta_vecinos', 'vez', 'mes', 'necesidad', 'presentar', 'nino', 'respecto', 'barri']","Cuidar el medio ambiente","junta de vecino villa vista al mar",1,1107,"4 a 5",15,"Otro"
41,36,7,0.553600013256073,"prometer, respetar, compromiso, nota, sacarse_buenas, nino, buen, comprometer, existir, mascota","['aprovechar', 'tiempo', 'padre', 'familia', 'disfrutar', 'salir', 'aire', 'libre', 'nino', 'feliz']","Compromiso de obtener mejores notas","jardin infantil ike ike",1,1101,"4 a 5",8,"Establecimiento Educacional"
43,37,0,0.685699999332428,"comprometer, mejor, trabajo, demanda, respetuoso, escuela, asi, subir, ninos_nina, continuar","['aumentar', 'participacion', 'labor', 'hogar', 'disminuir', 'carga', 'asociado', 'trabajo', 'mama']","Respeto en la escuela","niños programa 4 a 7",5,5105,"10 a 13",6,"Otro"
44,38,2,0.368800014257431,"espacio, participacion, mayor, mantener, generar, joven, calle, evitar, ambito, publico","['mantener', 'entorno', 'limpio']","Mayor incidencia en el ambito público","programa de 4 a 7",5,5107,"6 a 9",9,"Otro"
45,39,1,0.699000000953674,"cuidar, comunidad, reciclar, pelear, planet, violencia, expresar, futuro, cumplir, dar_conocer","['cuidar', 'arbol', 'planeta', 'reciclar', 'cuidar', 'medio_ambient']","Cuidar la convivencia","ilustre municipalidad de el quisco",5,5604,"4 a 5",5,"Oficina de Protección de Derechos"
46,40,7,0.69080001115799,"prometer, respetar, compromiso, nota, sacarse_buenas, nino, buen, comprometer, existir, mascota","['atento', 'suceder', 'aportar', 'posibilidad', 'existir', 'mejora', 'calidad_vida', 'persona', 'pais']","Compromiso de obtener mejores notas","municipalidad de primavera",12,12302,"10 a 13",13,"Establecimiento Educacional"
48,41,5,0.68010002374649,"adulto, cambio, marcha, mejorar, ano, ir, nuevo, colegio, tiempo, acuerdo","['visitar', 'tiempo', 'repetir', 'ejercicio', 'comparar', 'tiempo', 'factor', 'externo', 'influir', 'bienestar', 'normalidad', 'familia']","Mejorar en el colegio","jardin chasquita",4,4303,"4 a 5",11,"Establecimiento Educacional"
49,42,9,0.599500000476837,"educacion, pais, botar_basura, medio_ambiente, respecto, informar, lugar, informacion, campana, igualdad","['devolucion', 'sistematizacion', 'informacion', 'recogido']","Cuidar el medio ambiente","oficina local de la niñez municipalidad de santiago",13,13101,"6 a 9",14,"Oficina Local de la Niñez"
50,43,9,0.419200003147125,"educacion, pais, botar_basura, medio_ambiente, respecto, informar, lugar, informacion, campana, igualdad","['mantener', 'nino', 'informado', 'forma', 'adaptado', 'comprensible', 'comprensio']","Cuidar el medio ambiente","chile crece contigo",12,12402,"4 a 5",2,"Establecimiento Educacional"
51,44,4,0.259099990129471,"ayudar, persona, opinion, estudiar, dar, siempre, companero, opinión, discriminar, respeto","['mejor', 'persona']","Ayudar y respetar a los compañeros","escuela santa rita",7,7106,"6 a 9",19,"Establecimiento Educacional"
52,45,3,0.534699976444244,"mas, nna, social, pasar, comuna, cita_textual, tema, tener, cabildo, manera","['seguir', 'reforzar', 'nino', 'educacional', 'tema', 'abordado']","Mayor asistencia a Diálogos/Cabildos","escuela rocío",4,4302,"4 a 5",30,"Establecimiento Educacional"
53,46,0,0.354699999094009,"comprometer, mejor, trabajo, demanda, respetuoso, escuela, asi, subir, ninos_nina, continuar","['cabildo', 'incluya', 'mas', 'ninos_nina', 'escuela', 'comunidad']","Respeto en la escuela","opd osorno",10,10301,"10 a 13",28,"Establecimiento Educacional"
54,47,7,0.573099970817566,"prometer, respetar, compromiso, nota, sacarse_buenas, nino, buen, comprometer, existir, mascota","['posibilidad', 'proyecto', 'surgir', 'beneficio', 'jardin', 'nn', 'informar', 'postular']","Compromiso de obtener mejores notas","coordinacion chcc dideco ilustre municipalidad de pozo almonte",1,1401,"4 a 5",30,"Establecimiento Educacional"
55,48,6,0.660300016403198,"hacer, familia, rabioso, escuchar, agua, derecho, padre, gente, conversar, compartir","['conversar', 'familia', 'tema', 'ninos_a', 'interesar']","Compartir y conversar con la familia y la gente","ilustre municipalidad de huara",1,1404,"6 a 9",16,"Otro"
56,49,3,0.622500002384186,"mas, nna, social, pasar, comuna, cita_textual, tema, tener, cabildo, manera","['crear', 'huerto', 'jardin', 'infanti']","Mayor asistencia a Diálogos/Cabildos","jardin infantil ike ike",1,1101,"4 a 5",10,"Establecimiento Educacional"
57,50,2,0.526000022888184,"espacio, participacion, mayor, mantener, generar, joven, calle, evitar, ambito, publico","['mantener', 'espacio', 'trabajo', 'sala', 'limpio']","Mayor incidencia en el ambito público","programa fortalecimiento municipal chile crece contigo",1,1402,"6 a 9",15,"Establecimiento Educacional"
58,51,8,0.46560001373291,"participar, actividad, realizar, cosa, dialogo, instancia, ninos_nina, generar, comprometer, apoyar","['ninos', 'dialogo']","Mayor participación en instancias de diálogo","fundacion de las familia",3,3101,"10 a 13",10,"Otro"
59,52,2,0.440299987792969,"espacio, participacion, mayor, mantener, generar, joven, calle, evitar, ambito, publico","['espacio', 'deportivo']","Mayor incidencia en el ambito público","jardín infantil valle del sol",5,5801,"4 a 5",14,"Establecimiento Educacional"
60,53,7,0.404700011014938,"prometer, respetar, compromiso, nota, sacarse_buenas, nino, buen, comprometer, existir, mascota","['cuidar', 'tierra', 'disfrutar', 'nino', 'mas']","Compromiso de obtener mejores notas","programa 4a7 rabuco",5,5503,"10 a 13",8,"Otro"
61,54,8,0.444400012493133,"participar, actividad, realizar, cosa, dialogo, instancia, ninos_nina, generar, comprometer, apoyar","['nino', 'comprometer', 'participar', 'mas', 'actividad', 'invitado']","Mayor participación en instancias de diálogo","municipalidad de pica",1,1405,"6 a 9",13,"Oficina Local de la Niñez"
62,55,4,0.323399990797043,"ayudar, persona, opinion, estudiar, dar, siempre, companero, opinión, discriminar, respeto","['estudiar']","Ayudar y respetar a los compañeros","oficina proteccion de derechos romeral",7,7306,"Todos",20,"Consejo Consultivo"
63,56,8,0.415800005197525,"participar, actividad, realizar, cosa, dialogo, instancia, ninos_nina, generar, comprometer, apoyar","['permitir', 'realizacion', 'actividad', 'ninos_nina', 'ano']","Mayor participación en instancias de diálogo","opd",5,5605,"4 a 5",22,"Establecimiento Educacional"
64,57,5,0.371100008487701,"adulto, cambio, marcha, mejorar, ano, ir, nuevo, colegio, tiempo, acuerdo","['portarse_bien', 'colegio', 'padre']","Mejorar en el colegio","fundacion de la familias",3,3101,"6 a 9",8,"Otro"
65,58,5,0.473199993371964,"adulto, cambio, marcha, mejorar, ano, ir, nuevo, colegio, tiempo, acuerdo","['cambio', 'actitud', 'nuevo', 'idea', 'proponer', 'hacer', 'cambio', 'radical']","Mejorar en el colegio","opd tierna infancia",6,6306,"10 a 13",15,"Establecimiento Educacional"
66,59,5,0.617299973964691,"adulto, cambio, marcha, mejorar, ano, ir, nuevo, colegio, tiempo, acuerdo","['activamente', 'demostrar', 'adulto', 'tener', 'miedo', 'generar', 'cambio']","Mejorar en el colegio","opd viña del mar",5,5109,"14 a 18",5,"Consejo Consultivo"
67,60,8,0.526700019836426,"participar, actividad, realizar, cosa, dialogo, instancia, ninos_nina, generar, comprometer, apoyar","['establecimiento', 'escolar', 'comprometer', 'incluir', 'tipo', 'actividad', 'plan', 'formacion', 'ciudadano', 'ano']","Mayor participación en instancias de diálogo","liceo república de brasil",14,14103,"6 a 9",45,"Establecimiento Educacional"
68,61,1,0.478199988603592,"cuidar, comunidad, reciclar, pelear, planet, violencia, expresar, futuro, cumplir, dar_conocer","['actividad', 'realizado', 'continuar', 'creacion', 'grupo', 'ninos_nina', 'mejorar', 'comunidad']","Cuidar la convivencia","municipalidad de talcahuano",8,8110,"10 a 13",52,"Otro"
69,62,0,0.404799997806549,"comprometer, mejor, trabajo, demanda, respetuoso, escuela, asi, subir, ninos_nina, continuar","['comprometer', 'manifestar', 'pacificamente', 'mantener', 'informado']","Respeto en la escuela","opd cauquenes",7,7201,"Todos",24,"Programa Sename"
70,63,6,0.679499983787537,"hacer, familia, rabioso, escuchar, agua, derecho, padre, gente, conversar, compartir","['acordar', 'realizar', 'gestión', 'ninos_nina', 'acceder', 'ejemplo', 'piscina', 'municipal', 'proximo', 'reunion', 'apoderado', 'mostrara', 'padre', 'video', 'fotografia', 'actividad', 'finalidad', 'fortalecer', 'escuchar', 'atento', 'ademas', 'ejercicio', 'derecho', 'escuchar']","Compartir y conversar con la familia y la gente","fortalecimiento municipal chile crece contigo opd",1,1107,"4 a 5",20,"Establecimiento Educacional"
71,64,0,0.480399996042252,"comprometer, mejor, trabajo, demanda, respetuoso, escuela, asi, subir, ninos_nina, continuar","['mayor', 'vinculacion', 'sector', 'común', 'recoger', 'opinión', 'nina', 'incorporar', 'demanda', 'comunal']","Respeto en la escuela","orquesta infanto juvenil de barrio norte opd concepcion",8,8101,"Todos",30,"Oficina de Protección de Derechos"
72,65,6,0.342799991369247,"hacer, familia, rabioso, escuchar, agua, derecho, padre, gente, conversar, compartir","['compartir']","Compartir y conversar con la familia y la gente","chile crece contigo la ligua",5,5401,"10 a 13",1,"Otro"
73,66,9,0.442799985408783,"educacion, pais, botar_basura, medio_ambiente, respecto, informar, lugar, informacion, campana, igualdad","['pintar', 'colorear']","Cuidar el medio ambiente","coord niñez octava y chcc comunal",8,8204,"4 a 5",8,"Establecimiento Educacional"
74,67,9,0.362899988889694,"educacion, pais, botar_basura, medio_ambiente, respecto, informar, lugar, informacion, campana, igualdad","['querer', 'pais', 'mejo']","Cuidar el medio ambiente","chcc coronel",8,8102,"Todos",20,"Otro"
75,68,6,0.473300009965897,"hacer, familia, rabioso, escuchar, agua, derecho, padre, gente, conversar, compartir","['vocero', 'escuchado']","Compartir y conversar con la familia y la gente","opd petorca",5,5404,"Todos",7,"Consejo Consultivo"
76,69,8,0.476500004529953,"participar, actividad, realizar, cosa, dialogo, instancia, ninos_nina, generar, comprometer, apoyar","['ninos_nina', 'comentar', 'importancia', 'respetar']","Mayor participación en instancias de diálogo","jardín infantíl  tía virginia",5,5109,"4 a 5",19,"Establecimiento Educacional"
77,70,4,0.323399990797043,"ayudar, persona, opinion, estudiar, dar, siempre, companero, opinión, discriminar, respeto","['cambios_pai']","Ayudar y respetar a los compañeros","coord niñez octava y chcc comunal",8,8206,"10 a 13",6,"Establecimiento Educacional"
78,71,6,0.394400000572205,"hacer, familia, rabioso, escuchar, agua, derecho, padre, gente, conversar, compartir","['informar', 'mas', 'mejor', 'forma', 'tema', 'pais', 'opinar', 'fundamento']","Compartir y conversar con la familia y la gente","ppf araucaria",8,8105,"14 a 18",5,"Programa Sename"
79,72,1,0.459699988365173,"cuidar, comunidad, reciclar, pelear, planet, violencia, expresar, futuro, cumplir, dar_conocer","['cuidar', 'futuro']","Cuidar la convivencia","oficina de protección de derechos de la niñez y la adolescencia de santiago",13,13101,"Todos",18,"Oficina de Protección de Derechos"
80,73,1,0.330099999904633,"cuidar, comunidad, reciclar, pelear, planet, violencia, expresar, futuro, cumplir, dar_conocer","['conformar', 'grupo', 'generar', 'espacio', 'reflexion', 'educacional', 'comuna']","Cuidar la convivencia","opd curicó",7,7301,"14 a 18",8,"Oficina de Protección de Derechos"
81,74,3,0.394800007343292,"mas, nna, social, pasar, comuna, cita_textual, tema, tener, cabildo, manera","['continuar', 'trabajar', 'tematica', 'tipo', 'parte', 'actividad', 'plan_trabajo']","Mayor asistencia a Diálogos/Cabildos","escuela fernando santivan",14,14101,"4 a 5",9,"Establecimiento Educacional"
82,75,9,0.369500011205673,"educacion, pais, botar_basura, medio_ambiente, respecto, informar, lugar, informacion, campana, igualdad","['continuar', 'acción', 'tip']","Cuidar el medio ambiente","escuela fernando santivan",14,14101,"6 a 9",10,"Establecimiento Educacional"
84,76,3,0.128499999642372,"mas, nna, social, pasar, comuna, cita_textual, tema, tener, cabildo, manera","[]","Mayor asistencia a Diálogos/Cabildos","opd san rafael pelarco",7,7110,"10 a 13",16,"Establecimiento Educacional"
85,77,7,0.792400002479553,"prometer, respetar, compromiso, nota, sacarse_buenas, nino, buen, comprometer, existir, mascota","['organizar', 'levantar', 'necesidad', 'posteriormente', 'entregar', 'insumo', 'autoridad', 'busqueda', 'solucion', 'conjunto']","Compromiso de obtener mejores notas","escuela san josé",5,5702,"10 a 13",10,"Establecimiento Educacional"
86,78,7,0.792400002479553,"prometer, respetar, compromiso, nota, sacarse_buenas, nino, buen, comprometer, existir, mascota","['organizar', 'levantar', 'necesidad', 'posteriormente', 'entregar', 'insumo', 'autoridad', 'busqueda', 'solucion', 'conjunto']","Compromiso de obtener mejores notas","escuela maría teresa del canto",5,5702,"10 a 13",27,"Establecimiento Educacional"
87,79,1,0.383399993181229,"cuidar, comunidad, reciclar, pelear, planet, violencia, expresar, futuro, cumplir, dar_conocer","['cuidar', 'pais', 'planeta']","Cuidar la convivencia","escuela fernando santivan",14,14101,"4 a 5",8,"Establecimiento Educacional"
88,80,9,0.467200011014938,"educacion, pais, botar_basura, medio_ambiente, respecto, informar, lugar, informacion, campana, igualdad","['escolar', 'esperar', 'intencionar', 'mas', 'actividad', 'tip']","Cuidar el medio ambiente","escuela fernando santivan",14,14101,"6 a 9",26,"Establecimiento Educacional"
89,81,6,0.478300005197525,"hacer, familia, rabioso, escuchar, agua, derecho, padre, gente, conversar, compartir","['docente', 'seguir', 'implusar', 'actividad', 'contenido', 'tipo', 'promover', 'participacion', 'nino', 'nina']","Compartir y conversar con la familia y la gente","escuela fernando santivan",14,14101,"4 a 5",10,"Establecimiento Educacional"
90,82,7,0.561100006103516,"prometer, respetar, compromiso, nota, sacarse_buenas, nino, buen, comprometer, existir, mascota","['existencia', 'mayor', 'concientizacion', 'respecto', 'problema', 'nivel', 'nacional', 'manifestado', 'estallido', 'crisis_social']","Compromiso de obtener mejores notas","oficina de proteccion de derechos de infancia y adolescencia cabildo",5,5402,"10 a 13",6,"Oficina de Protección de Derechos"
91,83,3,0.523599982261658,"mas, nna, social, pasar, comuna, cita_textual, tema, tener, cabildo, manera","['realizar', 'conversatorio', 'mensual']","Mayor asistencia a Diálogos/Cabildos","oficina comunal chile crece contigo",5,5501,"4 a 5",10,"Otro"
92,84,7,0.831399977207184,"prometer, respetar, compromiso, nota, sacarse_buenas, nino, buen, comprometer, existir, mascota","['compromiso', 'adquirido', 'principalmente', 'organizando', 'levantar', 'idea', 'posteriormente', 'entregar', 'insumo', 'autoridad', 'busquedo', 'solucion', 'conjunto']","Compromiso de obtener mejores notas","escuela los cerrillos",5,5702,"10 a 13",12,"Establecimiento Educacional"
93,85,1,0.351999998092651,"cuidar, comunidad, reciclar, pelear, planet, violencia, expresar, futuro, cumplir, dar_conocer","['compromiso', 'colegio', 'continuar', 'abordar', 'tematica', 'tip']","Cuidar la convivencia","escuela fernando santivan",14,14101,"4 a 5",9,"Establecimiento Educacional"
94,86,2,0.536400020122528,"espacio, participacion, mayor, mantener, generar, joven, calle, evitar, ambito, publico","['mayor', 'espacio', 'socioeducativo', 'ninos_nina', 'comun']","Mayor incidencia en el ambito público","oficina de proteccion de derechos de infancia y adolescencia cabildo",5,5402,"6 a 9",5,"Programa Sename"
95,87,3,0.583599984645844,"mas, nna, social, pasar, comuna, cita_textual, tema, tener, cabildo, manera","['crecer', 'querer', 'seguir_realizar', 'actividad', 'ninos_nina', 'mas', 'grande']","Mayor asistencia a Diálogos/Cabildos","chile crece contigo i municipalidad de limache",5,5802,"4 a 5",11,"Otro"
96,88,3,0.694500029087067,"mas, nna, social, pasar, comuna, cita_textual, tema, tener, cabildo, manera","['educadora', 'transmitira', 'familia', 'necesidad', 'querer', 'hijo', 'hija', 'ademas', 'realizaran', 'cabildo', 'solucionar', 'conflicto', 'interno']","Mayor asistencia a Diálogos/Cabildos","jardín infantil y sala cuna los paltitos",5,5109,"4 a 5",21,"Establecimiento Educacional"
97,89,3,0.379700005054474,"mas, nna, social, pasar, comuna, cita_textual, tema, tener, cabildo, manera","['adulto', 'fomentar', 'ninos_a', 'traves', 'actividad', 'puedan_expresar', 'sentimiento', 'opinión']","Mayor asistencia a Diálogos/Cabildos","programa chile crece contigo ilustre municipalidad de santo domingo",5,5606,"6 a 9",19,"Establecimiento Educacional"
98,90,8,0.735300004482269,"participar, actividad, realizar, cosa, dialogo, instancia, ninos_nina, generar, comprometer, apoyar","['realizacion', 'jornada', 'periodica', 'dialogo', 'ninos_nina', 'adolescente', 'joven', 'seguir', 'profundizar', 'tematica', 'afecta']","Mayor participación en instancias de diálogo","escuela blas cuevas escuela república del salvador  taller de acción comunitaria",5,5101,"Todos",120,"Establecimiento Educacional"
99,91,7,0.376700013875961,"prometer, respetar, compromiso, nota, sacarse_buenas, nino, buen, comprometer, existir, mascota","['ninos_nina', 'comprometer', 'respetar', 'animal']","Compromiso de obtener mejores notas","jardín infantil leliantu",8,8305,"4 a 5",11,"Establecimiento Educacional"
